venue,date,start_time,title,description
Branston,2026-09-01,10:30,Driving - find more fairways,Improve your set up and strike to hit more consistent drives and keep the ball in play.
Branston,2026-09-03,10:00,Stay in your frame,"One of the biggest game changers in golf. Learn how maintaining your posture throughout the swing leads to better contact, improved consistency and more power."
Branston,2026-09-08,10:30,Approach play,"Learn when to attack, when to play safe and how smarter targets can immediately improve your scores."
Branston,2026-09-15,10:30,Strike the irons,"Learn and practice all the technique needed to strike the irons cleaner. If you struggle with topping the ball or catching the ground first this one is for you!"
Branston,2026-09-17,10:00,Clear the mind,"Discover how fewer swing thoughts often lead to better rhythm, cleaner contact and improved performance under pressure."
Branston,2026-09-22,10:30,Fairway woods and hybrids,"Join us as we share our best drills to achieve consistency with the fairway woods, hybrids and irons! We will also discuss what club to select from different lies!"
Branston,2026-09-26,15:30,Pitch and putt,"Develop the skills to hit your wedges closer, control your distances and save valuable strokes every round. Also how to hole more short putts on the course."
Branston,2026-09-29,10:30,On course Texas scramble,"Join us out on the course for a texas scramble where we can go through some advice on fairway shots, tee shots and alignment!"
